id,skills,experience,education,location,career_field,relocation
324,lesson planning classroom management teaching course development academic advising stem education employee training workday,2,High School,Charlotte,Education,True
325,risk assessment cash flow analysis cpa forecasting financial reporting python sap,14,Master,Baltimore,Finance,True
326,matlab plc system design email marketing digital marketing,3,Bachelor,Raleigh,Engineering,True
327,therapy critical care preventive care patient care case management anatomy medical records,5,Bachelor,Raleigh,Healthcare,True
328,mentoring lms lesson planning regulatory compliance power bi,3,Bachelor,Miami,Education,False
329,educational technology lms student assessment student counseling,5,Bachelor,Tampa,Education,False
330,prototyping 3d modeling creative direction cinema 4d,21,PhD,Indianapolis,Arts & Media,True
331,prospecting sales forecasting b2c sales,3,High School,Detroit,Sales,False
332,westlaw mediation legal research deposition,2,Master,Charlotte,Legal,False
333,process improvement solidworks plc root cause analysis testing system design mechanical design,4,Associate,San Diego,Engineering,True
334,territory management b2c sales sales analytics sales strategy pipeline management negotiation cross-selling,6,Bachelor,Pittsburgh,Sales,True
335,anatomy clinical documentation patient assessment medication management phlebotomy pharmacology imaging,5,PhD,Detroit,Healthcare,False
336,adobe indesign editing wireframing capital markets,2,Associate,Pittsburgh,Arts & Media,True
337,drafting westlaw client counseling intellectual property family law,4,Bachelor,Baltimore,Legal,True
338,git spring java sql scikit-learn css,2,Bachelor,Charlotte,Software & IT,True
339,banking financial statements internal controls quickbooks,4,Associate,Baltimore,Finance,True
340,academic writing google classroom blackboard,4,Bachelor,Baltimore,Education,False
341,teaching blackboard educational assessment instructional design intellectual property,23,High School,Cleveland,Education,True
342,illustration prototyping user testing art direction responsive design,2,Bachelor,Cleveland,Arts & Media,True
343,succession planning employee retention conflict resolution talent acquisition coaching workforce planning,1,Bachelor,Portland,Human Resources,False
344,b2c sales customer retention crm westlaw,5,Master,Orlando,Sales,True
345,python flask pandas postgresql,2,Bachelor,New York,Software & IT,False
346,treatment planning patient education clinical research laboratory testing imaging pharmacology surgery financial modeling cfa financial statements,2,PhD,San Jose,Healthcare,True
347,gcp scala rust django c# sales customer retention contract negotiation,1,PhD,Pittsburgh,Software & IT,False
348,capital markets sql sap r cfa cpa lms,3,High School,Austin,Finance,True
349,lead generation customer retention sales forecasting b2c sales salesforce sales customer acquisition therapy patient care,7,Associate,Remote,Sales,True
350,excel cash flow analysis corporate finance r accounting quickbooks risk assessment anatomy,7,PhD,Cincinnati,Finance,False
351,brief writing lexisnexis due diligence trademark law courtroom procedure document review regulatory compliance,2,Bachelor,New York,Legal,True
352,trademark law corporate law legal research patent law negotiation educational psychology student counseling,1,High School,Austin,Legal,True
353,preventive care patient assessment phlebotomy medical records,5,Associate,Remote,Healthcare,True
354,3d modeling user research videography visual design workday payroll processing hr analytics,4,High School,Remote,Arts & Media,False
355,presentations proposal writing sales strategy prospecting account management hubspot,29,Master,Remote,Sales,False
356,copywriting hootsuite adobe creative suite campaign management,5,Master,San Francisco,Marketing,True
357,invision creative direction responsive design photography adobe illustrator,1,Bachelor,Miami,Arts & Media,True
358,canvas educational assessment teaching lms course development educational administration moodle,6,Bachelor,Los Angeles,Education,False
359,thermodynamics mechanical design plc process improvement technical documentation,2,Bachelor,Cincinnati,Engineering,False
360,art direction user testing sketching ui design copywriting ux design,2,Bachelor,Philadelphia,Arts & Media,True
361,special education research iep development,2,Master,Cincinnati,Education,False
362,affiliate marketing content creation outbound marketing seo tools a/b testing buffer influencer marketing,3,Bachelor,Chicago,Marketing,False
363,adp compensation benefits administration employee engagement employee retention talent management diversity & inclusion proposal writing territory management,4,Bachelor,Columbus,Human Resources,True
364,facebook ads content creation a/b testing affiliate marketing ppc customer journey,8,Associate,San Jose,Marketing,True
365,customer retention account management territory management cross-selling sales analytics proposal writing business development mergers and acquisitions audit,14,Master,Raleigh,Sales,False
366,rest api flask swift node.js spring c#,4,Master,Charlotte,Software & IT,True
367,negotiation trial experience drafting litigation,7,Bachelor,San Antonio,Legal,False
368,kotlin c# hibernate numpy jenkins redux scala,3,Bachelor,Salt Lake City,Software & IT,False
369,content creation customer journey storytelling digital marketing sql budget management forecasting,1,Associate,Baltimore,Marketing,False
370,manufacturing processes system design failure analysis quality assurance circuit design moodle classroom management,14,Bachelor,Orlando,Engineering,False
371,videography invision ui design storyboarding adobe illustrator blender,3,Bachelor,Seattle,Arts & Media,False
372,.net python spring javascript accounting risk assessment investment management,3,Associate,San Francisco,Software & IT,False
373,laboratory testing patient assessment electronic health records risk assessment gaap taxation,6,High School,Boston,Healthcare,True
374,trademark law criminal law regulatory compliance,5,Master,New York,Legal,True
375,campaign management copywriting inbound marketing therapy infection control,17,Bachelor,Cleveland,Marketing,True
376,project management finite element analysis materials science quality control,4,High School,Salt Lake City,Engineering,False
377,brief writing patent law legal ethics civil procedure litigation corporate law legal analysis,6,Master,Baltimore,Legal,True
378,thermodynamics testing fluid dynamics matlab manufacturing processes nosql php flask,1,Master,New York,Engineering,False
379,css postgresql swift rest api internal controls power bi cpa,1,Associate,Indianapolis,Software & IT,False
380,cold calling hubspot sales funnel management pipeline management b2c sales,5,High School,Atlanta,Sales,False
381,capital markets python sql,7,Master,Indianapolis,Finance,False
382,plc blueprint reading gd&t root cause analysis prototyping quality assurance microcontrollers,10,Associate,Houston,Engineering,False
383,user testing copywriting videography figma,7,Associate,Charlotte,Arts & Media,True
384,instructional design student assessment course development blackboard,2,Master,Cincinnati,Education,True
385,kubernetes scala react pytorch kotlin,1,High School,Columbus,Software & IT,False
386,workforce planning performance management talent acquisition employee training recruiting hr analytics career development,9,Associate,Indianapolis,Human Resources,True
387,lexisnexis intellectual property contract law due diligence e-discovery legal ethics brief writing,1,Bachelor,Remote,Legal,True
388,market research inbound marketing influencer marketing,2,High School,San Antonio,Marketing,False
389,objection handling sales enablement cross-selling sales funnel management b2b sales client counseling due diligence civil procedure,4,Bachelor,Denver,Sales,False
390,autocad testing simulation,8,Bachelor,Washington DC,Engineering,False
391,interviewing hr analytics organizational development hris systems mailchimp market research digital marketing,11,High School,Atlanta,Human Resources,True
392,pedagogy teaching educational technology student engagement iep development google classroom,1,Associate,St. Louis,Education,True
393,catia microcontrollers project management matlab solidworks,3,Bachelor,Remote,Engineering,True
394,infection control patient education rehabilitation pharmacology emergency care outbound marketing,23,Bachelor,Dallas,Healthcare,True
395,legal documentation corporate law courtroom procedure due diligence,2,Associate,Phoenix,Legal,True
396,pharmacology medication management disease management sql,3,Master,Tampa,Healthcare,True
397,google classroom moodle teaching stem education student assessment student engagement pedagogy benefits administration labor laws,2,High School,San Jose,Education,True
398,document review family law case management arbitration,5,Bachelor,New York,Legal,False
399,financial reporting gaap accounting capital markets banking,2,Master,Portland,Finance,False
400,marketing automation crm software mailchimp e-discovery drafting legal documentation,12,Bachelor,San Antonio,Marketing,False
401,pharmacology rehabilitation physiology treatment planning patient education imaging,7,Bachelor,Detroit,Healthcare,True
402,spring flask numpy scikit-learn typescript,0,Associate,Denver,Software & IT,True
403,failure analysis finite element analysis solidworks,2,Bachelor,Kansas City,Engineering,True
404,simulation project management quality control cad testing manufacturing processes engineering design,11,Bachelor,New York,Engineering,False
405,trademark law drafting mediation deposition aws,1,Master,Salt Lake City,Legal,False
406,lesson planning curriculum development google classroom educational leadership course development arbitration,2,Master,Minneapolis,Education,True
407,project management manufacturing processes gd&t technical documentation cad microcontrollers,1,High School,Miami,Engineering,True
408,document review e-discovery intellectual property corporate law,4,Master,Detroit,Legal,False
409,art direction content strategy invision user research editing visual design layout design upselling,7,Bachelor,Nashville,Arts & Media,False
410,r capital markets cfa gaap banking taxation financial analysis css,4,Associate,Portland,Finance,True
411,editing prototyping copywriting art direction,1,High School,Boston,Arts & Media,True
412,business development negotiation account management presentations,8,High School,San Jose,Sales,False
413,videography illustration ux design layout design mysql,1,Bachelor,Chicago,Arts & Media,True
414,engineering design simulation manufacturing processes ansys,1,Associate,St. Louis,Engineering,True
415,taxation r accounting excel gaap power bi derivatives,6,High School,St. Louis,Finance,False
416,classroom management lesson planning student support mentoring research critical care clinical documentation,8,Bachelor,Atlanta,Education,False
417,deposition mediation document review trial experience civil procedure,7,Bachelor,Remote,Legal,False
418,trial experience case management legal ethics intellectual property legal writing e-discovery,4,High School,San Francisco,Legal,True
419,prototyping failure analysis blueprint reading root cause analysis engineering design,6,Associate,Houston,Engineering,True
420,bamboo hr workday diversity & inclusion benefits administration employee training,0,Bachelor,Nashville,Human Resources,False
421,videography blender copywriting solidworks,1,High School,Tampa,Arts & Media,True
422,educational leadership course development educational technology student support educational assessment mentoring educational administration,2,High School,San Diego,Education,False
423,cpr patient assessment patient education,16,Associate,Chicago,Healthcare,True
424,content strategy storyboarding invision copywriting,5,Associate,Philadelphia,Arts & Media,True
425,mediation legal ethics courtroom procedure patent law contract law php,6,Bachelor,Cleveland,Legal,False
426,client counseling case management brief writing civil procedure patent law litigation document review,4,High School,Indianapolis,Legal,True
427,matlab quality assurance materials science thermodynamics failure analysis gd&t,2,Master,Miami,Engineering,False
428,sales analytics sales solution selling sales strategy customer acquisition lead generation,6,Bachelor,Seattle,Sales,True
429,outbound marketing marketing automation public relations campaign management canva,2,Bachelor,Detroit,Marketing,True
430,gd&t plc circuit design catia laboratory testing medical terminology,4,Bachelor,Austin,Engineering,False
431,technical documentation autocad plc manufacturing processes simulation matlab prototyping,4,Associate,Columbus,Engineering,True
432,autocad materials science cad prototyping finite element analysis,0,Bachelor,Minneapolis,Engineering,True
433,courtroom procedure lexisnexis civil procedure mediation e-discovery legal analysis criminal law,5,Bachelor,Charlotte,Legal,True
434,circuit design project management system design ansys matlab engineering design,3,Bachelor,Dallas,Engineering,False
435,legal documentation legal writing intellectual property corporate law criminal law mediation,2,Bachelor,Columbus,Legal,False
436,closing techniques sales analytics hubspot business development cross-selling proposal writing upselling portfolio management sql,22,High School,Detroit,Sales,True
437,organizational development talent management workforce planning change management interviewing stem education,5,Master,Portland,Human Resources,False
438,digital marketing email marketing a/b testing seo canva sem,2,Bachelor,Indianapolis,Marketing,True
439,sketching responsive design premiere pro adobe photoshop adobe illustrator client counseling criminal law case management,2,Master,San Jose,Arts & Media,True
440,regulatory compliance deposition document review westlaw arbitration,2,Master,Orlando,Legal,False
441,crm software analytics seo marketing automation,27,PhD,Detroit,Marketing,True
442,storytelling storyboarding videography,1,Bachelor,Austin,Arts & Media,True
443,docker jenkins react ruby django .net tensorflow,4,Associate,Philadelphia,Software & IT,True
444,responsive design animation wireframing visual design color theory 3d modeling,9,Associate,San Antonio,Arts & Media,False
445,failure analysis gd&t matlab industrial design circuit design pedagogy,7,Bachelor,San Jose,Engineering,True
446,quotas sales consultative selling account management customer acquisition cross-selling,12,High School,Pittsburgh,Sales,False
447,invision copywriting sketch color theory ui design responsive design cinema 4d,7,Master,Denver,Arts & Media,True
448,engineering design project management testing,3,PhD,Seattle,Engineering,True
449,sem branding content strategy content creation hubspot,1,Associate,Charlotte,Marketing,True
450,family law legal ethics legal analysis trademark law trial experience,8,Bachelor,Tampa,Legal,False
451,westlaw brief writing legal ethics,3,Associate,San Diego,Legal,True
452,javascript flask swift numpy graphql kubernetes java cash flow analysis,4,Associate,San Diego,Software & IT,True
453,pedagogy lms educational assessment,6,Bachelor,Los Angeles,Education,True
454,risk assessment sap financial modeling forecasting portfolio management,7,High School,Salt Lake City,Finance,True
455,hootsuite campaign management branding market research testing,3,Bachelor,Columbus,Marketing,True
456,sales funnel management client relationship management negotiation quotas solution selling b2b sales,4,High School,Baltimore,Sales,True
457,mechanical design structural analysis finite element analysis solidworks fluid dynamics,4,Master,Remote,Engineering,True
458,client counseling trademark law patent law brief writing negotiation,5,Master,Seattle,Legal,True
459,academic advising educational leadership course development stem education student support mysql gcp,16,High School,Atlanta,Education,False
460,sales forecasting territory management crm,6,Associate,Columbus,Sales,False
461,b2c sales objection handling upselling solution selling sales analytics salesforce,5,Master,San Diego,Sales,False
462,e-discovery document review litigation drafting brief writing,15,Associate,Washington DC,Legal,True
463,compensation succession planning performance management bamboo hr applicant tracking systems workday employee engagement branding content creation canva,1,Associate,Atlanta,Human Resources,True
464,academic writing special education teaching course development educational leadership differentiated instruction student support,8,Bachelor,Columbus,Education,False
465,customer acquisition sales enablement presentations quotas solution selling proposal writing contract negotiation capital markets financial reporting financial statements,1,Associate,Chicago,Sales,False
466,root cause analysis materials science catia technical documentation adobe illustrator,1,Bachelor,Baltimore,Engineering,False
467,succession planning adp benefits administration talent management hris systems hr compliance,3,Master,Phoenix,Human Resources,False
468,content creation marketing automation seo tools content strategy hootsuite google analytics google ads,14,PhD,Minneapolis,Marketing,False
469,r capital markets regulatory compliance mergers and acquisitions financial statements financial modeling sap regulatory compliance patent law,7,Master,Nashville,Finance,True
470,medical terminology critical care diagnosis psychiatric evaluation clinical documentation clinical research pharmacology academic writing differentiated instruction lms,1,Bachelor,Salt Lake City,Healthcare,False
471,anatomy healthcare regulations patient assessment medical terminology clinical documentation phlebotomy,1,Bachelor,Miami,Healthcare,False
472,family law regulatory compliance patent law,1,High School,Columbus,Legal,False
473,creative direction cinema 4d layout design animation,2,Bachelor,Tampa,Arts & Media,False
474,litigation legal ethics client counseling,2,Bachelor,Salt Lake City,Legal,True
475,employee engagement performance management hr policies bamboo hr employee retention coaching employee onboarding customer acquisition,3,Bachelor,Tampa,Human Resources,False
476,e-discovery courtroom procedure case management trial experience sales forecasting closing techniques,0,Bachelor,Pittsburgh,Legal,False
477,public relations google ads seo social media marketing crm software hubspot,5,Master,Charlotte,Marketing,True
478,tensorflow graphql c# gcp,5,Bachelor,Pittsburgh,Software & IT,False
479,payroll processing employee retention hris systems talent acquisition hr policies interviewing e-discovery,2,Associate,Phoenix,Human Resources,True
480,java hibernate kotlin azure gcp c#,3,PhD,Kansas City,Software & IT,False
481,digital marketing copywriting affiliate marketing social media marketing inbound marketing storytelling,5,Master,Baltimore,Marketing,False
482,failure analysis structural analysis process improvement finite element analysis mechanical design,8,Bachelor,San Jose,Engineering,False
483,mediation trial experience criminal law e-discovery drafting client counseling,8,Bachelor,Kansas City,Legal,True
484,psychiatric evaluation phlebotomy anatomy treatment planning emergency care clinical research patient assessment,7,Bachelor,Minneapolis,Healthcare,True
485,b2c sales prospecting presentations student engagement educational technology lms,2,Bachelor,Miami,Sales,False
486,gd&t mechanical design ansys solidworks,10,PhD,San Antonio,Engineering,True
487,microcontrollers technical documentation plc,2,High School,Cleveland,Engineering,False
488,nosql c# docker aws scikit-learn mongodb javascript,2,Bachelor,Indianapolis,Software & IT,False
489,solution selling quotas customer acquisition sales closing techniques contract negotiation,11,Master,Remote,Sales,True
490,classroom management google classroom teaching mentoring iep development student engagement change management,8,Associate,Atlanta,Education,False
491,kubernetes rest api css sql mongodb python pandas,4,Bachelor,San Antonio,Software & IT,True
492,regulatory compliance portfolio management sql crm,4,Bachelor,Dallas,Finance,True
493,django rest api html mysql,1,Master,Austin,Software & IT,False
494,color theory user testing art direction,3,Master,Kansas City,Arts & Media,True
495,clinical research patient care disease management healthcare regulations diagnosis laboratory testing flask rust scala,5,Bachelor,Philadelphia,Healthcare,False
496,typography animation after effects photography premiere pro,6,Associate,Boston,Arts & Media,False
497,legal writing mediation patent law contract law,6,Associate,Boston,Legal,True
498,cad mechanical design quality control testing thermodynamics seo email marketing,3,Bachelor,San Jose,Engineering,False
499,employee engagement compensation benefits administration employee onboarding succession planning change management hr analytics,2,Master,Miami,Human Resources,False
500,technical documentation mechanical design plc contract negotiation sales strategy sales,2,Associate,Minneapolis,Engineering,False
501,phlebotomy psychiatric evaluation medical records healthcare regulations,15,Associate,Phoenix,Healthcare,False
502,storytelling animation prototyping branding user testing editing blender,7,Master,Portland,Arts & Media,False
503,regulatory compliance patent law civil procedure litigation due diligence lexisnexis,2,Master,San Antonio,Legal,False
504,objection handling sales enablement cross-selling upselling,4,Bachelor,San Francisco,Sales,False
505,recruiting hr analytics performance management adobe creative suite,4,High School,Tampa,Human Resources,False
506,b2b sales contract negotiation cross-selling crm pipeline management negotiation objection handling,4,Master,Pittsburgh,Sales,False
507,medication management vital signs emergency care preventive care physiology imaging treatment planning,3,Associate,Raleigh,Healthcare,False
508,treatment planning medication management infection control phlebotomy structural analysis,3,High School,Raleigh,Healthcare,True
509,change management recruiting employee onboarding payroll processing,2,High School,Orlando,Human Resources,True
510,banking audit financial statements cfa budget management risk assessment sql closing techniques proposal writing,3,Master,Austin,Finance,True
511,ui design wireframing ux design photography storyboarding,8,Associate,San Diego,Arts & Media,False
512,hr analytics compensation employee training recruiting hr compliance employee relations,1,Associate,Minneapolis,Human Resources,False
513,marketing automation sem adobe creative suite,10,Master,San Jose,Marketing,True
514,taxation investment management excel regulatory compliance pivot tables budget management bloomberg terminal,7,High School,Nashville,Finance,True
515,marketing automation canva content strategy outbound marketing,2,Bachelor,Remote,Marketing,False
516,project management structural analysis thermodynamics solidworks mechanical design technical documentation,6,Bachelor,San Antonio,Engineering,True
517,figma ux design adobe photoshop,4,Bachelor,Seattle,Arts & Media,True
518,academic writing course development research special education educational administration educational technology disease management patient assessment,14,Master,Columbus,Education,True
519,php gcp git node.js typescript visual design user testing,5,Bachelor,Remote,Software & IT,True
520,oracle c# html java scikit-learn scala postgresql,15,Bachelor,San Diego,Software & IT,True
521,employee retention employee engagement payroll processing workforce planning employee onboarding conflict resolution,2,High School,Kansas City,Human Resources,True
522,clinical research medical terminology medical records patient care laboratory testing healthcare regulations psychiatric evaluation talent acquisition,4,PhD,Nashville,Healthcare,True
523,html spring java,3,Master,Kansas City,Software & IT,True
524,creative direction responsive design content strategy art direction blender animation ux design,8,High School,San Diego,Arts & Media,False
525,creative direction layout design responsive design postgresql,3,High School,Minneapolis,Arts & Media,False
526,student support curriculum development academic writing pedagogy instructional design,13,Bachelor,Dallas,Education,False
527,applicant tracking systems diversity & inclusion adp employee relations,14,Associate,Boston,Human Resources,False
528,labor laws employee onboarding hr analytics succession planning compensation,4,Bachelor,Raleigh,Human Resources,False
529,testing mechanical design manufacturing processes microcontrollers,5,Bachelor,Cincinnati,Engineering,True
530,differentiated instruction academic writing blackboard educational technology simulation,4,High School,Dallas,Education,False
531,brief writing due diligence legal analysis intellectual property legal writing,2,Bachelor,Chicago,Legal,False
532,customer journey branding hootsuite,5,Master,Miami,Marketing,False
533,solidworks simulation prototyping process improvement closing techniques customer retention sales analytics,1,High School,Chicago,Engineering,False
534,mentoring educational psychology moodle educational technology stem education instructional design hubspot,3,Bachelor,Salt Lake City,Education,False
535,flask rust tensorflow mongodb azure redux kubernetes,2,Bachelor,Columbus,Software & IT,False
536,wireframing copywriting animation blender user testing photography storyboarding,4,Master,Austin,Arts & Media,True
537,excel corporate finance mergers and acquisitions quickbooks cash flow analysis financial reporting,5,Bachelor,Phoenix,Finance,False
538,cad solidworks ansys thermodynamics patent law negotiation,4,Bachelor,Philadelphia,Engineering,False
539,matlab finite element analysis process improvement materials science fluid dynamics quality control civil procedure,15,High School,San Jose,Engineering,True
540,cinema 4d branding after effects art direction,3,Bachelor,Austin,Arts & Media,False
541,quotas prospecting territory management negotiation closing techniques business development,10,Associate,Phoenix,Sales,True
542,adobe creative suite market research content strategy facebook ads customer journey campaign management,5,Master,Seattle,Marketing,False
543,classroom management teaching research curriculum development course development typography,1,Bachelor,Tampa,Education,True
544,healthcare regulations electronic health records preventive care treatment planning emergency care patient assessment,17,Master,New York,Healthcare,True
545,contract negotiation sales crm account management salesforce b2b sales territory management,3,PhD,Salt Lake City,Sales,False
546,patent law brief writing negotiation numpy aws tensorflow,5,Bachelor,Minneapolis,Legal,False
547,arbitration document review case management trademark law legal analysis courtroom procedure,2,Bachelor,Orlando,Legal,True
548,interviewing payroll processing conflict resolution hr policies employee training bamboo hr,2,High School,Salt Lake City,Human Resources,False
549,educational technology moodle student assessment academic advising pedagogy westlaw,2,Bachelor,Tampa,Education,False
550,disease management treatment planning diagnosis criminal law corporate law mediation,6,Bachelor,Philadelphia,Healthcare,False
551,sales forecasting lead generation sales enablement sales strategy upselling closing techniques,4,Associate,Baltimore,Sales,False
552,branding content strategy customer journey mailchimp outbound marketing buffer,11,Master,Cincinnati,Marketing,True
553,treatment planning case management phlebotomy infection control affiliate marketing marketing automation campaign management,3,Bachelor,Orlando,Healthcare,False
554,student support classroom management moodle google classroom cpr emergency care,20,Bachelor,Boston,Education,False
555,failure analysis circuit design industrial design autocad catia,6,Bachelor,St. Louis,Engineering,False
556,storytelling illustration after effects,4,High School,Dallas,Arts & Media,False
557,forecasting r mergers and acquisitions employee relations,1,Master,Dallas,Finance,False
558,electronic health records disease management imaging rehabilitation phlebotomy brief writing legal writing contract law,5,High School,Portland,Healthcare,True
559,pipeline management crm consultative selling,4,High School,Indianapolis,Sales,True
560,javascript spring swift git kotlin mysql tensorflow classroom management student assessment,3,High School,Houston,Software & IT,True
561,brief writing negotiation mediation corporate law document review contract law client counseling email marketing content creation market research,10,Associate,Charlotte,Legal,False
562,legal documentation client counseling family law e-discovery litigation,4,Bachelor,Dallas,Legal,False
563,classroom management student engagement iep development,4,Associate,Miami,Education,True
564,structural analysis finite element analysis process improvement root cause analysis thermodynamics engineering design,3,Bachelor,Detroit,Engineering,True
565,workforce planning organizational development hr policies recruiting labor laws,7,Bachelor,Kansas City,Human Resources,True
566,editing creative direction adobe photoshop,6,High School,Cleveland,Arts & Media,False
567,prototyping catia product development gd&t trial experience legal documentation client counseling,3,Master,Raleigh,Engineering,False
568,spring c# gcp html typescript graphql hubspot branding,11,Associate,New York,Software & IT,False
569,banking corporate finance audit internal controls gaap,9,Bachelor,Chicago,Finance,False
570,emergency care medical records phlebotomy critical care,1,Master,Chicago,Healthcare,False
571,marketing automation hootsuite copywriting canva facebook ads market research,3,High School,Portland,Marketing,True
572,canvas blackboard mentoring,8,Bachelor,Charlotte,Education,True
573,regulatory compliance capital markets r derivatives investment management,5,Bachelor,St. Louis,Finance,True
574,blueprint reading gd&t root cause analysis catia finite element analysis,9,Associate,Phoenix,Engineering,True
575,diversity & inclusion hr compliance applicant tracking systems recruiting employee retention e-discovery trial experience,4,Bachelor,Orlando,Human Resources,False
576,excel financial reporting regulatory compliance,7,Bachelor,Boston,Finance,False
577,pedagogy differentiated instruction teaching canvas mentoring cpr psychiatric evaluation medical records,3,High School,Cleveland,Education,False
578,document review family law legal documentation trial experience case management,4,Master,San Jose,Legal,False
579,employee engagement talent management adp employee onboarding performance management career development payroll processing,4,Associate,Indianapolis,Human Resources,False
580,pipeline management presentations territory management customer acquisition sales analytics objection handling consultative selling,6,Associate,Columbus,Sales,False
581,lexisnexis legal analysis document review negotiation,1,Bachelor,San Francisco,Legal,True
582,academic advising educational leadership student assessment,9,Bachelor,Philadelphia,Education,True
583,critical care laboratory testing patient education,5,Master,Baltimore,Healthcare,True
584,proposal writing crm hubspot contract negotiation,2,PhD,Kansas City,Sales,False
585,investment management power bi capital markets,1,Associate,New York,Finance,False
586,redux ruby graphql flask c# payroll processing benefits administration hris systems,2,Master,Pittsburgh,Software & IT,False
587,succession planning employee engagement organizational development adobe creative suite social media marketing content strategy,16,Associate,San Jose,Human Resources,True
588,b2c sales lead generation customer retention business development customer acquisition solution selling,6,Bachelor,Columbus,Sales,True
589,regulatory compliance trial experience litigation family law lexisnexis deposition pandas spring,3,Associate,Washington DC,Legal,True
590,educational leadership classroom management course development student support student counseling mentoring research,2,PhD,San Diego,Education,True
591,blender responsive design premiere pro adobe illustrator ui design academic writing,2,Associate,Houston,Arts & Media,False
592,gaap taxation mergers and acquisitions,5,Bachelor,Washington DC,Finance,False
593,due diligence case management trademark law internal controls,10,Bachelor,San Antonio,Legal,True
594,simulation blueprint reading engineering design circuit design fluid dynamics project management system design sales strategy b2b sales upselling,3,High School,Pittsburgh,Engineering,True
595,color theory after effects editing videography invision cinema 4d,11,Associate,Orlando,Arts & Media,False
596,inbound marketing seo tools marketing automation a/b testing social media marketing market research stem education,3,Bachelor,Boston,Marketing,False
597,plc catia ansys prototyping failure analysis,1,Associate,Atlanta,Engineering,True
598,docker spring python css pytorch azure,1,Associate,New York,Software & IT,True
599,matlab cad quality assurance technical documentation product development system design root cause analysis physiology,6,PhD,Atlanta,Engineering,True
600,pipeline management prospecting closing techniques proposal writing sales forecasting hubspot contract negotiation,1,Bachelor,Minneapolis,Sales,True
601,solidworks blueprint reading thermodynamics technical documentation product development,1,Master,Cleveland,Engineering,False
602,b2c sales lead generation pipeline management account management b2b sales sales hubspot,11,High School,Chicago,Sales,True
603,python financial modeling investment management corporate finance financial analysis cpa forecasting,1,PhD,Pittsburgh,Finance,False
604,tensorflow kotlin aws pytorch swift html c++,10,Master,Detroit,Software & IT,False
605,storyboarding 3d modeling ui design user testing layout design,6,Master,Orlando,Arts & Media,False
606,student engagement blackboard differentiated instruction educational administration,1,Bachelor,San Francisco,Education,False
607,engineering design testing materials science,3,High School,Dallas,Engineering,False
608,campaign management hootsuite sem outbound marketing,4,Bachelor,Cleveland,Marketing,True
609,business development sales enablement sales funnel management presentations client relationship management copywriting marketing automation analytics,1,Master,Remote,Sales,True
610,salesforce account management lead generation closing techniques negotiation cross-selling sales strategy,2,Bachelor,Portland,Sales,True
611,sketching premiere pro creative direction illustration ux design after effects,10,Bachelor,Minneapolis,Arts & Media,False
612,brief writing legal writing arbitration,8,Associate,Phoenix,Legal,False
613,moodle classroom management special education curriculum development academic writing educational administration lms,5,Bachelor,Detroit,Education,False
614,b2b sales sales strategy quotas customer acquisition closing techniques business development creative direction after effects ui design,3,Bachelor,Charlotte,Sales,True
615,patent law contract law drafting affiliate marketing,9,Bachelor,Remote,Legal,False
616,regulatory compliance forecasting financial modeling,3,Bachelor,Cincinnati,Finance,False
617,cad root cause analysis industrial design,6,High School,New York,Engineering,True
618,materials science project management catia failure analysis quickbooks investment management financial statements,25,Bachelor,St. Louis,Engineering,False
619,sales funnel management b2c sales objection handling closing techniques customer journey inbound marketing sem,3,Associate,St. Louis,Sales,False
620,critical care medical records patient assessment rehabilitation medication management blueprint reading project management,6,Master,Minneapolis,Healthcare,False
621,legal writing regulatory compliance criminal law trademark law legal ethics deposition case management,3,Bachelor,Minneapolis,Legal,False
622,regulatory compliance risk assessment cash flow analysis aws typescript .net,4,Associate,Philadelphia,Finance,True
623,content creation mailchimp email marketing sem google analytics,6,Bachelor,Seattle,Marketing,False
624,contract negotiation solution selling pipeline management,5,Associate,Miami,Sales,True
625,google ads sem a/b testing buffer ppc crm software facebook ads finite element analysis simulation technical documentation,0,High School,Denver,Marketing,False
626,surgery cpr diagnosis emergency care laboratory testing employee retention,1,Associate,Remote,Healthcare,True
627,adobe photoshop after effects figma wireframing creative direction content strategy,2,Associate,Los Angeles,Arts & Media,False
628,intellectual property legal research courtroom procedure family law westlaw legal ethics,4,Master,Boston,Legal,True
629,psychiatric evaluation case management rehabilitation,4,Master,Portland,Healthcare,True
630,google classroom blackboard moodle canvas,5,Bachelor,Chicago,Education,False
631,structural analysis process improvement autocad system design quality control circuit design project management,6,Master,Charlotte,Engineering,False
632,react sql nosql html scala,3,Bachelor,Los Angeles,Software & IT,True
633,client counseling drafting trial experience family law legal analysis case management corporate law customer acquisition,8,Master,Minneapolis,Legal,True
634,trial experience regulatory compliance westlaw trademark law civil procedure matlab manufacturing processes,5,Master,Philadelphia,Legal,False
635,employee training interviewing hr analytics conflict resolution,4,Bachelor,Seattle,Human Resources,False
636,talent acquisition hris systems workday recruiting employee onboarding interviewing,5,Master,New York,Human Resources,False
637,cpr physiology disease management patient care emergency care medical records,10,Bachelor,Minneapolis,Healthcare,False
638,banking accounting python cash flow analysis adobe indesign,2,Master,Cleveland,Finance,False
639,editing storytelling sketch,5,Bachelor,Cleveland,Arts & Media,True
640,adobe indesign sketching photography prototyping copywriting,6,Bachelor,Nashville,Arts & Media,False
641,influencer marketing a/b testing hootsuite sem facebook ads,2,Master,Raleigh,Marketing,True
